h3_id,year,crop_id,area_ha,mean_confidence
8426125ffffffff,2008,42,195.33089745789766,59.303035762458727
8427ae1ffffffff,2008,42,161.46483975694167,45.352451400754234
8427ae1ffffffff,2008,52,4171.2688257784966,65.541398250673538
8427ae1ffffffff,2008,53,14525.386112864768,69.956836438473033
84279d3ffffffff,2008,42,0.37770579010248184,24.166748183882245
84279d3ffffffff,2008,53,0.12593932449817657,32.998506562923552
8427487ffffffff,2008,42,105.1434659156437,38.210489989259749
8427487ffffffff,2008,53,0.93103571981191635,24.141853476005437
842a90bffffffff,2008,42,1.5818185359239578,25.783185473525762
8426c8dffffffff,2008,53,0.14953595399856567,43.500014200032922
8426a3bffffffff,2008,42,12.284616954624653,41.432714833559963
8426243ffffffff,2008,42,372.76418067457922,53.932939492837313
8426243ffffffff,2008,53,3.7829892039299011,26.932684326235634
8444e3bffffffff,2008,53,0.076514303684234619,17
84270e3ffffffff,2008,42,5.6503689996898174,26.966968504896911
842615bffffffff,2008,42,2.6673521026968956,27.824485749662383
842615bffffffff,2008,53,875.24047796121408,79.192802307399091
8448c59ffffffff,2008,42,2.9021527469158173,40.974132000929515
8426f4bffffffff,2008,53,0.20847471058368683,24.333338384379516
8444c49ffffffff,2008,42,13.993882946670055,32.40805748271638
8444c49ffffffff,2008,53,6.6506223082542419,47.570039414790216
8429b63ffffffff,2008,42,4.4472272917628288,30.393941028758469
8426b3bffffffff,2008,42,0.066881835460662842,20
8426049ffffffff,2008,53,0.76610907912254333,23.999904615026129
84275d9ffffffff,2008,42,210.723269373383,52.320298286835353
84275d9ffffffff,2008,53,205.8149381570372,50.683990979710536
8426a13ffffffff,2008,42,1274.1795202268104,77.5991423213416
842802bffffffff,2008,42,0.27330425381660461,60.750010059354004
84288dbffffffff,2008,42,1.8889652341604233,30.6726403436951
84288dbffffffff,2008,53,19.037737280130386,33.530706256018185
8426f05ffffffff,2008,42,0.14072434604167938,52
8426f05ffffffff,2008,53,5.1370184570550919,50.520817691509322
842758bffffffff,2008,42,14.328864045441151,27.169016269597087
842758bffffffff,2008,53,9.2028676554560658,28.396080090830043
8426f17ffffffff,2008,53,0.1426156759262085,16
8444e67ffffffff,2008,53,12.419202408924992,31.474277765263864
8426e85ffffffff,2008,53,0.072653934359550476,17
842ab13ffffffff,2008,42,0.33913907408714294,24.600070002343664
8426c15ffffffff,2008,53,2.0547135397791862,30.067677002783057
8426159ffffffff,2008,42,338.47032614052296,81.788265459989319
8426159ffffffff,2008,53,274.15063688819316,66.089425471070484
84288d5ffffffff,2008,42,559.81356110996478,47.6633496132608
84288d5ffffffff,2008,53,2953.9065747051695,67.190041879929083
8426353ffffffff,2008,42,66.370163355110321,37.737540986854931
8426353ffffffff,2008,53,1.8795957416296005,29.266701303462131
8444e07ffffffff,2008,42,1.6187247484922409,21.667999761835457
8444e07ffffffff,2008,53,0.38500991463661194,26.599506521083363
84278d7ffffffff,2008,52,5.3310911133885384,31.435306689229506
84278d7ffffffff,2008,53,202.83200751779711,51.443114374640444
8444ec3ffffffff,2008,53,1.1365819498896599,26.268520960289027
8426219ffffffff,2008,42,654.31330250203609,58.892978141926186
8426219ffffffff,2008,53,99.951237262843875,36.682884996785091
8429ab9ffffffff,2008,42,0.86297968775033951,35.910133548713993
8429ab9ffffffff,2008,53,0.93505430966615677,32.917409071244251
8427ad7ffffffff,2008,42,26.964538363907852,37.748613530561151
8427ad7ffffffff,2008,53,1447.9232677267171,76.532506445607751
8427aa9ffffffff,2008,42,16.990508612245321,32.518858318862726
8427aa9ffffffff,2008,52,2325.2675674899092,61.613660921706341
8427aa9ffffffff,2008,53,2677.950068136071,52.765050338167249
8427443ffffffff,2008,42,160.42067126184702,56.089920147480733
842a32dffffffff,2008,42,0.19687602669000626,19.331306243548305
8426621ffffffff,2008,42,0.27436136454343796,38.506816516841567
842a121ffffffff,2008,42,1.225242517888546,30.221175586024351
8448ddbffffffff,2008,42,0.73698466271162033,30.196343342717654
8426e19ffffffff,2008,53,7.7837010994553566,41.363763923703061
8428865ffffffff,2008,42,0.06464027613401413,27
842898bffffffff,2008,42,0.061626579612493515,17
8427481ffffffff,2008,42,140.0170673372991,37.502527243982506
8427481ffffffff,2008,53,0.19840606302022934,26.664275043296726
842af67ffffffff,2008,42,0.790062427520752,26.907611245542075
8428851ffffffff,2008,42,235.20113225552967,56.987325581951595
8428851ffffffff,2008,53,119.70421184123147,48.821250978377215
842a961ffffffff,2008,42,3.2556330412626266,30.600166599662622
8428d5bffffffff,2008,53,2.4389007054269314,28.597777501523808
8426105ffffffff,2008,53,3.1376022845506668,31.770668529785382
8426009ffffffff,2008,53,0.064960487186908722,30
8444ac7ffffffff,2008,42,799.64552772021761,58.319957709947161
84278cdffffffff,2008,42,3.3173644170165062,29.576802069556052
84278cdffffffff,2008,52,1225.5425240737113,52.092672752411886
84278cdffffffff,2008,53,2821.9243771376568,60.857521521074759
8427553ffffffff,2008,42,36.09480381757021,36.051678576516991
8427553ffffffff,2008,53,324.11206224902588,52.5020915083513
84261e5ffffffff,2008,42,8.9376481920480728,35.73044121142393
8444f19ffffffff,2008,42,59.475380666553974,58.669257766630771
8444f19ffffffff,2008,53,112.61784229012682,47.71614835083966
842aa9bffffffff,2008,42,3.748267725110054,29.357738691491384
842aa9bffffffff,2008,53,0.2120453268289566,24.000004919142992
8444c21ffffffff,2008,53,0.15061841905117035,20
842635dffffffff,2008,42,898.3618377612064,62.320006856134526
842635dffffffff,2008,53,77.069332324202151,54.948542617828373
84269c7ffffffff,2008,42,1.2090891516383957,35.755717669430531
8444c0dffffffff,2008,42,0.075814709067344666,16
8444c0dffffffff,2008,53,5.4506359249353409,28.899962624319791
8427ad3ffffffff,2008,42,47.537048465466384,30.729770312296633
8427ad3ffffffff,2008,53,530.76308204518523,58.215613049246492
842653dffffffff,2008,42,0.071085348725318909,35
8426ec3ffffffff,2008,42,0.4325081929564476,28.828604681525409
842aa49ffffffff,2008,42,279.99637299475131,49.174586020336932
842aa49ffffffff,2008,53,14.663953882163646,41.807902596661314
84279d1ffffffff,2008,42,5.04617446108776,31.167978356081658
84279d1ffffffff,2008,53,1.6924222335219383,33.187056034775
8426d39ffffffff,2008,53,1.9158861637115479,26.385263551249164
842aa15ffffffff,2008,42,159.98224981932663,54.687508956829816
84288cbffffffff,2008,42,0.12650559842586517,28
84288cbffffffff,2008,53,39.967736236721862,35.868027757918895
842ad09ffffffff,2008,42,0.073714040219783783,39
8426d19ffffffff,2008,53,0.07324247807264328,22
842b8c9ffffffff,2008,42,8.99399246275425,52.243500219127938
84275c5ffffffff,2008,42,10183.682948175307,69.500169386196177
84275c5ffffffff,2008,53,1460.5892314833754,67.170450161615491
8426de5ffffffff,2008,53,3.7872888223213308,28.843581290148851
8428839ffffffff,2008,52,0.06350429356098175,26
8428839ffffffff,2008,53,0.4462290033698082,23.427136279643289
8426593ffffffff,2008,53,0.073799170553684235,40
842b1abffffffff,2008,42,0.064069002866745,29
84288adffffffff,2008,42,10721.535884737028,77.133885107862113
84288adffffffff,2008,52,6356.4245793864866,67.952490826986192
