area_m2,crop_id,h3_id,mean_confidence,year
18916.306762695312,42,842694bffffffff,32.038656361671251,2022
3628.7337036132812,42,8428d09ffffffff,30.002564690702041,2022
28411.131042480469,42,8426a1dffffffff,43.180653684389192,2022
5185600.342590332,42,8426ae3ffffffff,70.467241584031285,2022
61937.785217285156,42,8428f31ffffffff,28.031022378193217,2022
17462.080017089844,42,842780bffffffff,23.241662277418307,2022
123011.93316650391,42,8428893ffffffff,25.394565350959361,2022
388589.70093587239,42,842625dffffffff,32.16967576840274,2022
20371.587890625,42,842602bffffffff,25.384112344877924,2022
36573675.251566328,42,8426203ffffffff,75.317858664420811,2022
65416.569873525579,42,8428f41ffffffff,39.563318727917448,2022
637.7391357421875,42,8426317ffffffff,17,2022
412755.1955145144,42,8426355ffffffff,33.892610636081656,2022
1317.512939453125,42,8426a05ffffffff,69,2022
2428.8343505859375,42,8412db3ffffffff,21.249777768128087,2022
18849.84326171875,42,84262e3ffffffff,26.61955635057269,2022
676.6805419921875,42,8426847ffffffff,93,2022
14995835.350959089,42,8426ac1ffffffff,69.738459143795154,2022
70780811.318286359,42,84271a1ffffffff,73.11848740769878,2022
11518.852722167969,42,8428953ffffffff,27.722312128814515,2022
3753.09619140625,42,84278e3ffffffff,35.167579980513487,2022
258599.87640380859,42,8427ad5ffffffff,26.80741298997383,2022
2055073.7792114259,42,84270a5ffffffff,52.945671920335442,2022
10411.191711425781,42,84270bbffffffff,28.825384881247007,2022
8015.9413452148438,42,8427831ffffffff,18.461736300109319,2022
2496.75244140625,42,8427567ffffffff,26.498867376351583,2022
2184662.2987060547,42,84275ddffffffff,52.443931852772039,2022
6019550.14761173,42,8428843ffffffff,51.883211831321553,2022
5289.8404541015625,42,8426b2dffffffff,35.372835081749081,2022
56800.516235351562,42,8426139ffffffff,26.990894363849769,2022
3640541.7866218118,42,842620bffffffff,54.897853608522638,2022
4756.7568969726562,42,8412d85ffffffff,37.626761081600293,2022
9269635.45055171,42,8426359ffffffff,59.007974678988475,2022
14512199.391296387,42,8427425ffffffff,68.710874404895876,2022
47526195.536420755,42,842623bffffffff,83.6760767487098,2022
1999.935546875,42,84281e9ffffffff,46,2022
1329.24462890625,42,8428189ffffffff,35,2022
1262.181884765625,42,8427985ffffffff,49,2022
2688.4430541992188,42,84261c7ffffffff,25.50847096691248,2022
7587.7898559570312,42,8427401ffffffff,44.828621557707464,2022
5860.4160766601562,42,8428847ffffffff,38.564498409902313,2022
4074082.3499145508,42,8426267ffffffff,62.9785251299798,2022
754346.07575492118,42,84262e9ffffffff,64.5958334232642,2022
1150772.5383164349,42,842634dffffffff,47.412555724263655,2022
7430643.83785544,42,8428b11ffffffff,56.615872619486019,2022
15981.524115109911,42,8427abdffffffff,26.193332265461095,2022
30030.9453125,42,8426305ffffffff,40.021969751302755,2022
15814046.618504187,42,8428855ffffffff,64.8885340031786,2022
288200.76605224609,42,8426ad9ffffffff,30.471802055027961,2022
154025.01470947266,42,8427585ffffffff,35.136528980929256,2022
1317499.7109375,42,8426229ffffffff,73.00915996669967,2022
143247.37469482422,42,8427429ffffffff,34.365460179317111,2022
85740.402957691869,42,8428f0dffffffff,46.480708602221256,2022
4465.976806640625,42,842604dffffffff,31.573221165822911,2022
4180.2369995117188,42,8427ae7ffffffff,24.720417042718523,2022
212836.32702636719,42,8427553ffffffff,36.598119260510408,2022
609.07830810546875,42,84270b9ffffffff,35,2022
77113.441345214844,42,8427ac7ffffffff,28.454406454279695,2022
52776.161315917969,42,8426107ffffffff,29.12568834186062,2022
1255.3056640625,42,8428833ffffffff,28,2022
675.199951171875,42,8426089ffffffff,25,2022
4644.0289306640625,42,84260cdffffffff,48.995396053794188,2022
2637.659423828125,42,842603dffffffff,25.255141290796903,2022
7042.8463745117188,42,8427517ffffffff,21.087729547089417,2022
3125.2312622070312,42,8427889ffffffff,19.399234712884237,2022
14674.964294433594,42,8428811ffffffff,40.089220809574364,2022
623.1951904296875,42,84288e3ffffffff,17,2022
30827.717651367188,42,842895bffffffff,34.704575591456333,2022
1566860.3323261335,42,8426213ffffffff,82.271654852715,2022
64749.166625976562,42,84262ddffffffff,44.870139195863544,2022
1274.602783203125,42,84279a5ffffffff,43.502827885832232,2022
4907.463623046875,42,8427911ffffffff,32.87495988377875,2022
672.5546875,42,8426a37ffffffff,82,2022
1758890.5093383789,42,8426119ffffffff,62.616939589347027,2022
33175.860290527344,42,8412da3ffffffff,29.999675034625628,2022
640689.47726500267,42,84288b1ffffffff,61.10525511347835,2022
7047389.6080932617,42,8426a3bffffffff,71.139563258556123,2022
7769106.5116720758,42,8427a99ffffffff,61.619103302844714,2022
18010483.0897437,42,8426a91ffffffff,60.104167849851564,2022
3033245.1898863553,42,8426b51ffffffff,72.091234990088168,2022
3725.7485961914062,42,84288e7ffffffff,23.169057445313044,2022
9382.4484252929688,42,8428f15ffffffff,46.99932552935563,2022
8683.1918334960938,42,84260c1ffffffff,51.922543233715658,2022
1313.928955078125,42,8426a57ffffffff,32,2022
4657.3809204101562,42,8426b2bffffffff,40.575038775515523,2022
1343.7144775390625,42,84260ebffffffff,51,2022
116328.1435546875,42,8427a8bffffffff,29.662357172202096,2022
13826.877807617188,42,842752dffffffff,26.225762430391519,2022
71734.392822265625,42,84262e1ffffffff,31.951828272253241,2022
18716155.533339556,42,84275ebffffffff,61.9263390160352,2022
1592480.1772460938,42,8427529ffffffff,55.873358511841552,2022
35301.744079589844,42,8428d03ffffffff,42.5878976238571,2022
106641.39434814453,42,8427addffffffff,30.102938358208558,2022
32615.554321289062,42,842613bffffffff,25.256847576211534,2022
15148.625122070312,42,84278adffffffff,36.829724565766362,2022
26845307.629869409,42,8427a91ffffffff,83.403161635167734,2022
126662862.80855569,42,842718bffffffff,80.2239191869085,2022
128631.19934082031,42,84279b3ffffffff,34.914900166456974,2022
35491.106811523438,42,8427853ffffffff,29.05270114758715,2022
19603678.504471123,42,8426123ffffffff,67.560424997316389,2022
1193.2969970703125,42,8427861ffffffff,37,2022
1287.6640014648438,42,8428a91ffffffff,20.499998886102144,2022
4300.82275390625,42,84278cdffffffff,41.43548434478096,2022
316883.39910888672,42,8427ad1ffffffff,30.065614006601127,2022
24842.987885119866,42,84288b5ffffffff,33.674830441169149,2022
71928.535522460938,42,84262d9ffffffff,33.3926201237104,2022
9685.782470703125,42,8428d61ffffffff,23.124004255794848,2022
24863.123411649816,42,842604bffffffff,39.967281049540858,2022
1555926.2885131836,42,84261a5ffffffff,61.86976756144297,2022
17247.358764648438,42,8427995ffffffff,47.889136550664816,2022
5133.9261474609375,42,842881dffffffff,39.751514672080638,2022
378075.57884114585,42,84271d3ffffffff,37.150172709681556,2022
1299.3021240234375,42,8426b6dffffffff,25,2022
2120746.5689398074,42,8427539ffffffff,59.113054860418842,2022
3759.4195556640625,42,84288e1ffffffff,24.167268561895227,2022
21200864.900180709,42,84271bdffffffff,63.480271999427096,2022
1072797.5399110084,42,8426225ffffffff,53.830961668921823,2022
2289432.496669156,42,8428b01ffffffff,75.7474714405085,2022
39097196.524588794,42,84271adffffffff,68.838427540366567,2022
1963434.6372680664,42,8426111ffffffff,68.7706158203496,2022
3922.0425415039062,42,8426005ffffffff,26.165899723064932,2022
5193.771484375,42,842885bffffffff,31.49834452775654,2022
13913.364685058594,42,8428f57ffffffff,53.416426494087361,2022
3977464.5275701783,42,8427423ffffffff,57.520659294183147,2022
21722.133911132812,42,8427543ffffffff,30.227784760446582,2022
5220.470703125,42,8426a63ffffffff,56.506089099178006,2022
3130.3828735351562,42,8427509ffffffff,32.203705617002335,2022
4236140.7300549075,42,8426269ffffffff,55.672981736269591,2022
